opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
USA,US AIRWAYS,FK-28-4000,"2 BIRDS, NO DAMAGE.",Climb,11/29/1993 0:00:00,MD,10.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10
AAL,AMERICAN AIRLINES,B-727-200,,Approach,8/13/1993 0:00:00,TN,400.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,,Climb,10/7/1993 0:00:00,VA,100.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-82,NO DAMAGE,Climb,9/25/1993 0:00:00,SC,50.0,170.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
GFT,GULFSTREAM INTL AIRLINES,BE-99,FLT 714.  TIME = 1951Z,Landing Roll,9/20/1993 0:00:00,FL,0.0,40.0,None,Some Cloud,HAWKS,1
NWA,NORTHWEST AIRLINES,DC-9,15 MI NE OF OMAHA.  NO DAMAGE,En Route,8/30/1993 0:00:00,NE,4000.0,230.0,None,Some Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-727-200,,Approach,5/28/1992 0:00:00,UT,200.0,130.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
MTR,METROFLIGHT,BA-31 JETSTR,NO DAMAGE REPTD. TIME = 0042Z,Approach,2/29/1992 0:00:00,TX,3000.0,135.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE,Approach,5/25/1992 0:00:00,TN,200.0,150.0,None,Overcast,EUROPEAN STARLING,1
MTR,METROFLIGHT,BA-31 JETSTR,FLT 759 HIT BIRD OVER THRESHOLD OF RWY. FLT LANDED W/O INCIDENT.  NO REPTD DAMAGE. TIME = 1935Z.,Approach,8/19/1992 0:00:00,AR,300.0,135.0,None,,BLACKBIRDS,1
AAL,AMERICAN AIRLINES,MD-82,,Take-off run,8/2/1993 0:00:00,FL,0.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,NO DAMAGE,Climb,5/11/1992 0:00:00,NY,800.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
VGA,AIR VEGAS,C-402,"BIRD STRUCK BASE OF WINDSHIELD ON PILOT SIDE.  WINDSHLD BROKE  & BIRD HIT TOP OF INSTRUMENT PANEL.  ALTITUDE INDICATOR,  ALTIMETER, VSI AND RADIOS WERE DAMAGED.  NO INJURIES.",En Route,6/13/1990 0:00:00,,4500.0,155.0,Precautionary Landing,No Cloud,HAWKS,1
BUS,BUSINESS,PA-24 COMANCHE,"JUST AFTER GEAR DOWN SOMETHING STRUCK THE PASSENGER SIDE OF  A/C. SINCE IT WAS DARK, WE LANDED AND THEN WITH A FLASH LIGHT  COULD SEE THAT A BIRD HAD STRUCK THE RIGHT FRONT OF FUSELAGE -  TEARING BOTH AIR VENTS OFF AND DAMAGING THE DOOR.",Approach,8/5/1990 0:00:00,ID,1000.0,175.0,None,No Cloud,DUCKS,1
BUS,BUSINESS,DA-50 FALCON,DAMAGE UNKNOWN -- PILOT ADVISED TOWER AFTER THE INCIDENT.,Take-off run,5/7/1991 0:00:00,NJ,0.0,120.0,None,Some Cloud,TURKEY VULTURE,1
MRK,MARKAIR,B-737-200,"GULL INGESTED IN RT ENG. COMPRESSOR STALLED ONCE, LANDED A/C &  SECURED ENG DURING ROLL OUT. NOTED FUEL FLOW FLUCTUATION AFTER  THE STRIKE. INSPN FOUND AT LEAST 7 DAMAGED FAN BLADES. (DATA  ENTRY NOTE: DATE OF STRIKE REPTD AS 3 AND 4TH)",Approach,8/3/1990 0:00:00,AK,500.0,140.0,Other,No Cloud,GULLS,1
UNK,UNKNOWN,BE-58  BARON,A/C DEPTD AFTER REPORTING BIRD STRIKE.  DID NOT VOLUNTEER ANY ADDITIONAL INFORMATION.,Climb,1/21/1991 0:00:00,LA,200.0,150.0,None,Some Cloud,UNKNOWN BIRD,1
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-9-30,STRIKE JUST ABOVE F/O'S WINDOW. INSPCTN FOUND NO DAMAGE.,Landing Roll,7/30/1993 0:00:00,MS,0.0,105.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-82,REMARKS ON COMPANY PAPERWORK INDICATED BIRDS IN VICINITY.   NO DAMAGE.,Take-off run,7/12/1991 0:00:00,VA,0.0,90.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,B-767,FLT 1424. DAMAGE TO A/C NOT REPTD.,Landing Roll,7/22/1994 0:00:00,UT,0.0,105.0,None,,UNKNOWN BIRD,1
GFT,GULFSTREAM INTL AIRLINES,BE-99,FLT 408.  UNKNOWN AS TO WHAT PART STRUCK.,Landing Roll,7/22/1994 0:00:00,FL,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
CRO,CROWN AIRWAYS,SHORTS 330,,Take-off run,10/20/1993 0:00:00,PA,0.0,90.0,None,Some Cloud,MOURNING DOVE,2-10
UAL,UNITED AIRLINES,B-727-200,"PILOT SAID THERE WAS NO DAMAGE, BIRDS HIT UNDER THE FUSELAGE A&  A/C VENT. FOG.",Climb,5/12/1990 0:00:00,NE,35.0,140.0,None,Overcast,BLACKBIRDS,11-100
AAL,AMERICAN AIRLINES,MD-82,"FLT 373,ABTD T/O DUE TO BIRD STRIKE (HAWK WITH A RABBIT, NO  SURVIVORS), & RETD TO THE GATE. NO RPTD DMG.",Take-off run,11/30/1992 0:00:00,TX,0.0,120.0,Aborted Take-off,No Cloud,RED-TAILED HAWK,1
USA,US AIRWAYS,B-737-200,INDENTATION AT POINT OF RADOME APPROX. 8 INCHES IN DIAMETER & 1.5  IN. DEEP.  BIRD PARTS STRUCK UNDERSIDE OF RT WING 10 IN. INBOARD  OF RT ENG PYLON JUST BEHIND LE FLAP.  BIRD PARTS ALSO STRUCK RT  MAIN GEAR STRUT & GEAR STRUT DOOR. TIME = 1840 LCL.,Approach,3/25/1991 0:00:00,NY,500.0,129.0,None,Overcast,GULLS,1
SYM,SIMMONS AVIATN,ATR-42,ROBIN OR SPARROW. FLT 3546.,Approach,7/12/1993 0:00:00,TN,400.0,135.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE SUSPECTED OR OBSVD BY PILOTS. FLT 1453,Approach,4/22/1991 0:00:00,NE,600.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,C-207 SKYWAG,NO DAMAGE.  THE BIRD STRUCK THE RIGHT WING. RAIN.,Descent,9/18/1991 0:00:00,AK,100.0,80.0,None,Overcast,DUCKS,1
AAL,AMERICAN AIRLINES,DC-9-80,"TWR REPTD THAT PREVIOUSLY LANDING AIRCRAFT HAD SEEN A FLOCK  OF BIRDS IN THE VICINITY OF RWY 24R.  WE WERE AT 300 AGL ON FINAL  APPCH. AT 150'AGL BIRDS LIFTED OFF FROM RT SIDE OF APPCH END.  AT  100' WE HIT THE FLOCK OF BIRDS.  NOSE, WINDSHLD, NOSE GEAR RT  MAIN MOUNT, BOTH LEADING EDGES & FLAPS & LT ENG SHOW IMPACT.  NO  STRUCTURAL DAMAGE WAS FOUND.  LT LANDING LIGHT ON WING WAS  DAMAGED & REPLACED.",Approach,9/10/1991 0:00:00,OH,100.0,140.0,None,No Cloud,EUROPEAN STARLING,11-100
GOV,GOVERNMENT,HUGHES 269A,NO DAMAGE. TIME = 1810 LCL.,Take-off run,9/27/1991 0:00:00,OH,0.0,20.0,Aborted Take-off,Some Cloud,SPARROWS,1
COA,CONTINENTAL AIRLINES,B-737-300,FLT 509.,Take-off run,9/28/1991 0:00:00,NJ,0.0,120.0,None,No Cloud,ROCK PIGEON,1
KFS,KALITTA CHARTERS,LEARJET-23,,Landing Roll,7/6/1993 0:00:00,NY,0.0,100.0,None,Some Cloud,RING-NECKED PHEASANT,1
MEP,MIDWEST AIRLINES,DC-9-10,ATIS WARNING. NO DAMAGE.,Approach,10/4/1990 0:00:00,WI,100.0,125.0,None,No Cloud,GULLS,1
BUS,BUSINESS,LOCKHEED C-130,,Take-off run,8/12/1994 0:00:00,NY,0.0,120.0,None,Some Cloud,RED-TAILED HAWK,1
NWA,NORTHWEST AIRLINES,DC-9,RAIN. REMAINS NOT FOUND.,Take-off run,8/12/1994 0:00:00,MI,0.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-200,SMALL DENT IN HORIZ STABL. #2 ENG BEING CHECKED.,Climb,10/22/1991 0:00:00,OH,30.0,140.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,FK-28-1000,,Approach,7/31/1991 0:00:00,VA,50.0,125.0,None,Some Cloud,SPARROWS,1
DAL,DELTA AIR LINES,B-727,NO DAMAGE/INJURY,Approach,5/4/1991 0:00:00,KY,3000.0,180.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-200,DAMAGED 1ST & 2ND STAGE FANS. FLT 260,Take-off run,6/1/1990 0:00:00,ON,0.0,136.0,None,No Cloud,GULLS,1
SKW,SKYWEST AIRLINES,MERLIN III,,Landing Roll,3/8/1992 0:00:00,CA,0.0,105.0,None,Some Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE. TIME = 1858Z,Take-off run,6/13/1990 0:00:00,,0.0,140.0,None,Some Cloud,DOVES,1
COM,COMAIR AIRLINES,SAAB-340,,Take-off run,8/9/1993 0:00:00,MI,0.0,98.0,Aborted Take-off,Overcast,RED-TAILED HAWK,1
AAL,AMERICAN AIRLINES,MD-80,,Approach,8/30/1993 0:00:00,NC,400.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-737,FLT 1438. TIME = 1347Z. HIT A BIRD ON DEPTR. NO DAMAGE REPTD.  CONTD TO DENVER W/O INCIDENT.,Climb,10/14/1993 0:00:00,WA,200.0,150.0,None,,UNKNOWN BIRD,1
BUS,BUSINESS,PA-44 SEMINOLE,,Climb,3/3/1991 0:00:00,NC,30.0,100.0,None,Overcast,GULLS,1
NWA,NORTHWEST AIRLINES,DC-10,"SEA ATCT REPORTS FLT 150 WAS 8 NM NORTH OF SEA TAC WHEN  THEY REPTD THEY THOUGHT THEY HIT A BIRD, THERE WAS NO APPARENT DAMAGE.",Climb,7/9/1990 0:00:00,WA,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-200,RETD FOR ENG INSPN. TIME OUT OF SVC WAS 2 HR 35 MIN.,Climb,11/8/1990 0:00:00,NY,60.0,230.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1
