atype,phase_of_flt,state,height,speed,effect,sky,species,birds_struck,month_of_the_year,season
FK-28-4000,Climb,South Atlantic,10.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,2-10,November,Fall
B-727-200,Approach,East South Central,400.0,140.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
MD-82,Climb,South Atlantic,100.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,1,October,Fall
MD-82,Climb,South Atlantic,50.0,170.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
BE-99,Landing Roll,South Atlantic,0.0,40.0,None,Some Cloud,HAWKS,1,September,Fall
DC-9,En Route,West North Central,4000.0,230.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
B-727-200,Approach,Mountain,200.0,130.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
BA-31 JETSTR,Approach,West South Central,3000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,February,Winter
MD-80,Approach,East South Central,200.0,150.0,None,Overcast,EUROPEAN STARLING,1,May,Spring
BA-31 JETSTR,Approach,West South Central,300.0,135.0,None,Some Cloud,BLACKBIRDS,1,August,Summer
MD-82,Take-off run,South Atlantic,0.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-737-200,Climb,Middle Atlantic,800.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,May,Spring
C-402,En Route,Unknown,4500.0,155.0,Precautionary Landing,No Cloud,HAWKS,1,June,Summer
PA-24 COMANCHE,Approach,Mountain,1000.0,175.0,None,No Cloud,DUCKS,1,August,Summer
DA-50 FALCON,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,TURKEY VULTURE,1,May,Spring
B-737-200,Approach,Pacific,500.0,140.0,Other,No Cloud,GULLS,1,August,Summer
BE-58  BARON,Climb,West South Central,200.0,150.0,None,Some Cloud,UNKNOWN BIRD,1,January,Winter
DC-9-30,Landing Roll,East South Central,0.0,105.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
MD-82,Take-off run,South Atlantic,0.0,90.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-767,Landing Roll,Mountain,0.0,105.0,None,Some Cloud,UNKNOWN BIRD,1,July,Summer
BE-99,Landing Roll,South Atlantic,0.0,105.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,July,Summer
SHORTS 330,Take-off run,Middle Atlantic,0.0,90.0,None,Some Cloud,MOURNING DOVE,2-10,October,Fall
B-727-200,Climb,West North Central,35.0,140.0,None,Overcast,BLACKBIRDS,11-100,May,Spring
MD-82,Take-off run,West South Central,0.0,120.0,Aborted Take-off,No Cloud,RED-TAILED HAWK,1,November,Fall
B-737-200,Approach,Middle Atlantic,500.0,129.0,None,Overcast,GULLS,1,March,Spring
ATR-42,Approach,East South Central,400.0,135.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
MD-80,Approach,West North Central,600.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,April,Spring
C-207 SKYWAG,Descent,Pacific,100.0,80.0,None,Overcast,DUCKS,1,September,Fall
DC-9-80,Approach,East North Central,100.0,140.0,None,No Cloud,EUROPEAN STARLING,11-100,September,Fall
HUGHES 269A,Take-off run,East North Central,0.0,20.0,Aborted Take-off,Some Cloud,SPARROWS,1,September,Fall
B-737-300,Take-off run,Middle Atlantic,0.0,120.0,None,No Cloud,ROCK PIGEON,1,September,Fall
LEARJET-23,Landing Roll,Middle Atlantic,0.0,100.0,None,Some Cloud,RING-NECKED PHEASANT,1,July,Summer
DC-9-10,Approach,East North Central,100.0,125.0,None,No Cloud,GULLS,1,October,Fall
LOCKHEED C-130,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,RED-TAILED HAWK,1,August,Summer
DC-9,Take-off run,East North Central,0.0,160.0,None,Overcast,UNKNOWN BIRD - SMALL,1,August,Summer
B-737-200,Climb,East North Central,30.0,140.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
FK-28-1000,Approach,South Atlantic,50.0,125.0,None,Some Cloud,SPARROWS,1,July,Summer
B-727,Approach,East South Central,3000.0,180.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,May,Spring
B-737-200,Take-off run,Unknown,0.0,136.0,None,No Cloud,GULLS,1,June,Summer
MERLIN III,Landing Roll,Pacific,0.0,105.0,None,Some Cloud,GULLS,1,March,Spring
B-727,Take-off run,Unknown,0.0,140.0,None,Some Cloud,DOVES,1,June,Summer
SAAB-340,Take-off run,East North Central,0.0,98.0,Aborted Take-off,Overcast,RED-TAILED HAWK,1,August,Summer
MD-80,Approach,South Atlantic,400.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-737,Climb,Pacific,200.0,150.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
PA-44 SEMINOLE,Climb,South Atlantic,30.0,100.0,None,Overcast,GULLS,1,March,Spring
DC-10,Climb,Pacific,2000.0,200.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,July,Summer
B-737-200,Climb,Middle Atlantic,60.0,230.0,Precautionary Landing,No Cloud,UNKNOWN BIRD,1,November,Fall
SHORTS 360,Descent,Middle Atlantic,2500.0,190.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
BE-200 KING,Landing Roll,South Atlantic,0.0,80.0,None,Overcast,GULLS,1,April,Spring
BA-31 JETSTR,Descent,East North Central,4500.0,245.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
SAAB-340,Climb,Middle Atlantic,100.0,160.0,None,No Cloud,SPARROWS,1,October,Fall
DC-9,Approach,South Atlantic,4000.0,210.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
FK-100,Approach,West South Central,5000.0,250.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
B-727,Landing Roll,Unknown,0.0,80.0,None,Some Cloud,PARROTS,1,April,Spring
EMB-120,Approach,South Atlantic,50.0,125.0,None,No Cloud,TERNS,1,March,Spring
SHORTS 360,Approach,South Atlantic,200.0,110.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
MD-80,Take-off run,West South Central,0.0,150.0,Aborted Take-off,Some Cloud,ROCK PIGEON,2-10,June,Summer
DC-9,Landing Roll,Middle Atlantic,0.0,100.0,None,Some Cloud,LAUGHING GULL,1,July,Summer
MD-80,Approach,Middle Atlantic,3000.0,210.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
C-650,Approach,Middle Atlantic,50.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-727,Approach,South Atlantic,2000.0,125.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
MD-80,Take-off run,Middle Atlantic,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
BE-1900,Approach,Middle Atlantic,500.0,140.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
DC-9-30,Climb,Middle Atlantic,40.0,160.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
A-300,Approach,Middle Atlantic,1000.0,140.0,None,No Cloud,UNKNOWN BIRD,1,December,Winter
MD-80,Approach,South Atlantic,250.0,133.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,October,Fall
SAAB-340,Landing Roll,East South Central,0.0,105.0,None,No Cloud,OWLS,1,November,Fall
MD-80,Approach,South Atlantic,1500.0,200.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
FK-28-1000,Approach,Mountain,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1,May,Spring
C-172,Approach,West North Central,500.0,90.0,Precautionary Landing,No Cloud,CANADA GOOSE,2-10,October,Fall
B-737,Landing Roll,New England,0.0,105.0,None,Overcast,GULLS,1,February,Winter
B-737-200,Approach,West North Central,1000.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,September,Fall
PA-28,Climb,East North Central,20.0,80.0,Other,No Cloud,GULLS,1,August,Summer
EMB-120,Approach,East South Central,2000.0,120.0,None,Some Cloud,BLACKBIRDS,1,August,Summer
B-737-200,Climb,East North Central,200.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,May,Spring
DHC8 DASH 8,Approach,South Atlantic,100.0,100.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,February,Winter
MD-82,Take-off run,West South Central,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
B-737-300,Approach,Middle Atlantic,10.0,127.0,None,Overcast,GULLS,1,May,Spring
B-737-200,Climb,South Atlantic,200.0,150.0,Precautionary Landing,No Cloud,GULLS,1,November,Fall
CITATION II,Climb,New England,10.0,150.0,Precautionary Landing,No Cloud,GULLS,2-10,October,Fall
C-152,Approach,West North Central,4.0,65.0,Engine Shut Down,Some Cloud,BLACKBIRDS,2-10,October,Fall
B-737-300,Approach,South Atlantic,10.0,120.0,None,No Cloud,SPARROWS,2-10,June,Summer
MD-87,Climb,Mountain,200.0,150.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,August,Summer
MOONEY-20J,Approach,Middle Atlantic,20.0,80.0,None,Some Cloud,AMERICAN ROBIN,1,July,Summer
B-737-300,Climb,South Atlantic,5000.0,250.0,None,Some Cloud,GULLS,1,November,Fall
B-737-500,Take-off run,West South Central,0.0,130.0,Aborted Take-off,No Cloud,GULLS,2-10,March,Spring
B-727-200,Landing Roll,West South Central,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
BA-31 JETSTR,Landing Roll,East North Central,0.0,100.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,June,Summer
DC-9-30,Landing Roll,Middle Atlantic,0.0,100.0,None,No Cloud,GULLS,1,October,Fall
B-727-200,Landing Roll,West South Central,0.0,140.0,None,No Cloud,UNKNOWN BIRD,1,November,Fall
B-757-200,Approach,New England,100.0,130.0,None,No Cloud,HERRING GULL,2-10,June,Summer
B-727-200,Landing Roll,Middle Atlantic,0.0,120.0,None,Overcast,SPARROWS,1,July,Summer
PA-31 NAVAJO,Climb,East North Central,800.0,140.0,None,Some Cloud,TURKEY VULTURE,1,October,Fall
C-172,Take-off run,Mountain,0.0,80.0,None,No Cloud,BARN OWL,1,January,Winter
UNKNOWN,Climb,East North Central,8.0,150.0,None,Some Cloud,GULLS,1,October,Fall
B-737,Approach,Unknown,600.0,140.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,October,Fall
B-737-200,Landing Roll,East North Central,0.0,105.0,Other,No Cloud,UNKNOWN BIRD,2-10,June,Summer
B-737-200,Climb,South Atlantic,7500.0,250.0,None,Overcast,UNKNOWN BIRD - MEDIUM,1,October,Fall
C-150,Approach,West North Central,30.0,65.0,None,Overcast,BLACKBIRDS,1,August,Summer
BA-31 JETSTR,Take-off run,West South Central,0.0,120.0,Aborted Take-off,No Cloud,UNKNOWN BIRD,1,September,Fall
B-727,Approach,Middle Atlantic,500.0,135.0,None,Some Cloud,OWLS,1,May,Spring
BE-99,En Route,West North Central,7000.0,180.0,Precautionary Landing,Overcast,UNKNOWN BIRD - LARGE,2-10,November,Fall
DC-9-40,Approach,West North Central,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
DHC8 DASH 8,Approach,Pacific,3000.0,200.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10,August,Summer
DC-10-40,Landing Roll,Pacific,0.0,120.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,Over 100,September,Fall
B-727,Climb,South Atlantic,500.0,160.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,January,Winter
L-1011,Approach,Pacific,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1,August,Summer
FK-100,Approach,East South Central,100.0,135.0,None,Overcast,UNKNOWN BIRD - SMALL,1,January,Winter
NAMC YS-11A,En Route,East North Central,2500.0,130.0,None,No Cloud,UNKNOWN BIRD,1,October,Fall
RKWL SHRIKE,Approach,West North Central,400.0,120.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
UNKNOWN,Approach,South Atlantic,200.0,135.0,None,Overcast,EUROPEAN STARLING,2-10,January,Winter
B-737,Take-off run,Middle Atlantic,0.0,120.0,None,Overcast,GULLS,2-10,September,Fall
MD-80,Approach,Middle Atlantic,4000.0,160.0,None,No Cloud,UNKNOWN BIRD - LARGE,1,October,Fall
DC-9-50,Climb,Pacific,50.0,150.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
FK-28-4000,Take-off run,New England,0.0,120.0,None,Overcast,GULLS,2-10,November,Fall
FK-100,Take-off run,West South Central,0.0,120.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-727,Approach,West South Central,3000.0,135.0,None,No Cloud,UNKNOWN BIRD,1,September,Fall
B-737-200,Take-off run,East North Central,0.0,95.0,Other,No Cloud,MOURNING DOVE,2-10,August,Summer
C-152,Approach,Pacific,500.0,70.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,August,Summer
DHC8 DASH 8,Landing Roll,Middle Atlantic,0.0,105.0,None,No Cloud,WHITE-TAILED DEER,1,November,Fall
MOONEY-20B/C,Climb,South Atlantic,500.0,150.0,Precautionary Landing,Some Cloud,HAWKS,1,June,Summer
EMB-120,Approach,East South Central,2600.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
B-737-400,Approach,South Atlantic,400.0,135.0,None,No Cloud,GULLS,1,February,Winter
FK-28-4000,Climb,South Atlantic,500.0,146.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,October,Fall
ATR-42,Take-off run,Middle Atlantic,0.0,120.0,None,Some Cloud,EUROPEAN STARLING,1,September,Fall
B-727,Climb,East South Central,75.0,170.0,None,Some Cloud,BLACKBIRDS,1,March,Spring
PA-34 SENECA,Approach,South Atlantic,800.0,110.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1,September,Fall
DC-9,Climb,Middle Atlantic,50.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1,July,Summer
B-737-300,Landing Roll,Mountain,0.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10,December,Winter
T-38A,Approach,South Atlantic,2.0,150.0,None,Some Cloud,TREE SWALLOW,2-10,November,Fall
DC-9-30,Taxi,West South Central,0.0,12.5,None,Overcast,UNKNOWN BIRD,1,June,Summer
B-757-200,Approach,East North Central,4000.0,180.0,None,No Cloud,CANADA GOOSE,2-10,November,Fall
G-159,Approach,East South Central,500.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1,November,Fall
